State,totalRegistered,registeredPerc,Pop
Maine,828000,0.771,1345790
Mississippi,1599000,0.729,2989260
Michigan,5453000,0.712,10045029
North Dakota,397000,0.709,761723
Kentucky,2389000,0.709,4499692
Minnesota,3000000,0.708,5700671
Missouri,3299000,0.706,6169270
Wisconsin,3129000,0.705,5851754
Montana,579000,0.704,1086759
Iowa,1658000,0.698,3179849
Oregon,2274000,0.691,4301089
Ohio,6062000,0.683,11747694
Vermont,343000,0.681,628061
Kansas,1449000,0.674,2910357
New Hampshire,726000,0.672,1371246
Washington,3852000,0.667,7797095
Alabama,2490000,0.664,4908621
Maryland,3095000,0.663,6083116
South Dakota,429000,0.662,903027
Louisiana,2263000,0.654,4645184
Pennsylvania,6469000,0.652,12820878
North Carolina,5160000,0.652,10611862
Virginia,4159000,0.651,8626207
Alaska,337000,0.644,734002
Utah,1443000,0.642,3282115
Rhode Island,532000,0.642,1056161
West Virginia,892000,0.634,1778070
Indiana,3131000,0.625,6745354
Wyoming,268000,0.624,567025
Illinois,6068000,0.624,12659682
Delaware,472000,0.624,982895
South Carolina,2430000,0.621,5210095
Oklahoma,1777000,0.62,3954821
Nebraska,883000,0.619,1952570
Georgia,4840000,0.617,10736059
New Jersey,4297000,0.613,8936574
Massachusetts,3345000,0.613,6976597
Tennessee,3183000,0.612,6897576
Connecticut,1726000,0.609,3563077
Colorado,2645000,0.608,5845526
Arizona,3262000,0.608,7378494
New Mexico,916000,0.581,2096640
Idaho,743000,0.572,1826156
Florida,9435000,0.56,21992985
Arkansas,1262000,0.558,3038999
New York,8553000,0.553,19440469
Texas,11634000,0.552,29472295
Nevada,1277000,0.55,3139658
California,15690000,0.519,39937489
Hawaii,523000,0.495,1412687
DC,438373,0.624,702455
